Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
9,9,0,1.000000,1.000000,1.000000,1.000000,1.000000,NaN,1.000000,2286.217417,0.010484
19,10,5,1.000000,1.000000,1.000000,1.000000,0.918159,NaN,0.918159,4364.521785,0.008340
26,7,8,1.000000,1.000000,1.000000,1.000000,0.891026,NaN,0.891026,4833.962670,0.006677
36,10,22,1.000000,1.000000,1.000000,1.000000,0.854492,NaN,0.854492,6244.014819,0.006343
42,6,27,1.000000,1.000000,1.000000,1.000000,0.821932,NaN,0.821932,6244.014819,0.005412
56,14,42,1.000000,1.000000,1.000000,1.000000,0.800489,NaN,0.800489,7397.092152,0.004805
64,8,48,1.000000,1.000000,1.000000,1.000000,0.828031,NaN,0.828031,8394.488853,0.004543
72,8,62,1.000000,1.000000,1.000000,1.000000,0.831285,NaN,0.831285,8394.488853,0.004144
86,14,80,1.000000,1.000000,1.000000,1.000000,0.829373,NaN,0.829373,8555.850354,0.003411
92,6,94,1.000000,1.000000,1.000000,1.000000,0.832946,NaN,0.832946,8555.850354,0.003145
103,11,96,1.000000,1.000000,1.000000,1.000000,0.832643,NaN,0.832643,10641.369572,0.003546
110,7,131,1.000000,1.000000,1.000000,1.000000,0.822682,NaN,0.822682,10641.369572,0.003310
114,4,144,1.000000,1.000000,1.000000,1.000000,0.818221,NaN,0.818221,10641.369572,0.003281
118,4,155,1.000000,1.000000,1.000000,1.000000,0.823244,NaN,0.823244,10641.369572,0.003171
126,8,200,1.000000,1.000000,1.000000,1.000000,0.818701,NaN,0.818701,11703.507625,0.003319
