Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
11,11,0,0.986144,0.991727,0.998127,0.996422,0.899371,1.000000,0.798856,74.214472,0.000231
22,11,1,0.978250,0.979284,0.996214,0.996417,0.791927,0.972715,0.581289,92.327588,0.000158
35,13,7,0.959882,0.957649,0.992960,0.995813,0.796597,0.981477,0.592052,133.876925,0.000152
39,4,12,0.951908,0.950438,0.991777,0.995813,0.821446,0.983970,0.636128,146.729934,0.000142
49,10,19,0.939067,0.940879,0.989805,0.994857,0.844753,0.987524,0.669865,177.575273,0.000134
59,10,42,0.930712,0.925494,0.987813,0.992066,0.863500,0.980066,0.741160,209.077818,0.000131
63,4,71,0.923044,0.920686,0.986630,0.992066,0.865695,0.981299,0.740974,221.865941,0.000132
77,14,72,0.901424,0.905570,0.984204,0.992015,0.873515,0.982026,0.759721,260.474603,0.000125
85,8,81,0.885599,0.893551,0.982528,0.992015,0.833991,0.984147,0.677415,266.841428,0.000118
92,7,98,0.877449,0.881532,0.980458,0.991086,0.829442,0.985629,0.659328,290.193230,0.000119
103,11,124,0.855523,0.869569,0.978288,0.989056,0.847863,0.987428,0.689529,300.032543,0.000107
116,13,151,0.841689,0.854028,0.975626,0.989056,0.866680,0.989306,0.724442,327.551183,0.000099
128,12,152,0.824896,0.838431,0.973358,0.987069,0.860371,0.990333,0.712588,358.631383,0.000097
135,7,155,0.811289,0.827642,0.971879,0.985582,0.863049,0.990959,0.711715,385.092702,0.000099
140,5,158,0.802723,0.821661,0.970499,0.985066,0.866553,0.991439,0.716467,414.247107,0.000102
