Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
11,11,0,0.988299,0.993136,0.998551,1.000000,0.786321,0.775723,0.796907,65.275720,0.000233
22,11,1,0.981749,0.982615,0.996855,0.999999,0.719616,0.852477,0.564818,100.083243,0.000190
35,13,7,0.968550,0.968913,0.994321,0.999878,0.700285,0.787328,0.603984,129.124709,0.000168
39,4,12,0.961700,0.961702,0.993137,0.999878,0.736900,0.815943,0.646771,139.193245,0.000151
49,10,19,0.953850,0.956710,0.991639,0.998922,0.708128,0.777180,0.623544,188.246037,0.000170
59,10,42,0.949570,0.949018,0.990791,0.998922,0.707689,0.744092,0.669482,204.768196,0.000157
63,4,71,0.946873,0.946374,0.989963,0.998922,0.712773,0.753610,0.668714,208.119587,0.000150
77,14,72,0.930842,0.937508,0.988237,0.998922,0.705461,0.749737,0.659030,240.726624,0.000143
85,8,81,0.915706,0.925488,0.986561,0.998922,0.707702,0.779266,0.633078,266.390349,0.000139
92,7,98,0.909315,0.915392,0.985121,0.998922,0.695622,0.774913,0.609260,274.820271,0.000135
103,11,124,0.899620,0.909047,0.984273,0.998880,0.703996,0.760580,0.639803,287.468343,0.000124
116,13,151,0.886881,0.894468,0.981769,0.998880,0.739914,0.790537,0.681194,343.921235,0.000122
128,12,152,0.879930,0.883293,0.980674,0.997914,0.732960,0.780193,0.679250,368.193603,0.000118
135,7,155,0.872300,0.875629,0.979501,0.997867,0.732798,0.778961,0.678181,377.612997,0.000115
140,5,158,0.868162,0.873253,0.978949,0.997680,0.730192,0.765857,0.687331,380.807588,0.000111
