Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
7,7,0,0.994792,0.993827,0.999554,1.000000,0.861020,1.000000,0.784290,24.771461,0.000181
19,12,29,0.985287,0.988444,0.998069,1.000000,0.721606,1.000000,0.614575,113.994143,0.000329
23,4,40,0.984674,0.986901,0.997772,1.000000,0.709934,1.000000,0.610610,135.827869,0.000316
27,4,41,0.982954,0.985358,0.997475,1.000000,0.748538,1.000000,0.660673,182.322471,0.000348
36,9,60,0.977476,0.982271,0.996732,1.000000,0.696169,0.933753,0.618661,211.373996,0.000293
44,8,65,0.976583,0.980728,0.996509,1.000000,0.665981,0.809891,0.618342,244.562671,0.000279
50,6,70,0.972985,0.977642,0.996361,1.000000,0.670459,0.766060,0.638938,269.047286,0.000270
63,13,165,0.967174,0.973012,0.996064,1.000000,0.615916,0.718499,0.576812,324.909333,0.000281
75,12,184,0.967174,0.973012,0.996064,1.000000,0.604871,0.611112,0.602713,412.833492,0.000288
85,10,191,0.962841,0.969925,0.995172,1.000000,0.602550,0.620824,0.596266,476.177310,0.000284
97,12,193,0.960707,0.965296,0.994281,1.000000,0.601638,0.645905,0.587549,544.705748,0.000282
105,8,207,0.954823,0.960666,0.993835,1.000000,0.619857,0.659602,0.607509,598.147796,0.000284
112,7,225,0.945951,0.956826,0.993093,1.000000,0.644487,0.693687,0.628405,677.925787,0.000290
118,6,236,0.939569,0.952197,0.992276,1.000000,0.655067,0.703648,0.639801,713.552264,0.000282
127,9,257,0.935415,0.946024,0.991162,1.000000,0.674626,0.739217,0.653052,779.393499,0.000275
