Number of Applications,Number of New Applications,Time,CPUClock Idle Rate,Memory Idle Rate,Storage Idle Rate,Bandwidth Idle Rate,Application Acceptance Rate,Service Acceptance Rate,Task Acceptance Rate,Completion Time,Completion Time Per Priority
7,7,0,0.994344,0.993827,0.999554,1.000000,1.000000,1.000000,1.000000,37.096007,0.000234
19,12,29,0.983275,0.988444,0.998069,1.000000,1.000000,1.000000,1.000000,104.239078,0.000217
23,4,40,0.982767,0.986901,0.997772,1.000000,1.000000,1.000000,1.000000,110.669488,0.000183
27,4,41,0.981373,0.985358,0.997475,1.000000,1.000000,1.000000,1.000000,125.433705,0.000179
36,9,60,0.971364,0.980728,0.996583,1.000000,1.000000,1.000000,1.000000,145.056134,0.000140
44,8,65,0.965323,0.977642,0.996064,1.000000,1.000000,1.000000,1.000000,167.093209,0.000127
50,6,70,0.958790,0.973802,0.995321,1.000000,1.000000,1.000000,1.000000,178.870905,0.000120
63,13,165,0.950124,0.966875,0.994578,0.996862,0.998818,1.000000,0.998367,249.579838,0.000133
75,12,184,0.944859,0.963035,0.993241,0.995816,0.999064,1.000000,0.998740,277.572522,0.000117
85,10,191,0.937992,0.958406,0.992201,0.994672,0.998730,1.000000,0.998293,322.363920,0.000116
97,12,193,0.933800,0.950690,0.991162,0.993626,0.998899,1.000000,0.998548,354.431486,0.000111
105,8,207,0.927849,0.946060,0.990716,0.992580,0.998961,1.000000,0.998638,378.560398,0.000112
112,7,225,0.917628,0.942220,0.989973,0.992668,0.999028,1.000000,0.998710,402.596926,0.000111
118,6,236,0.911435,0.937590,0.989156,0.992424,0.999087,1.000000,0.998801,421.508356,0.000109
127,9,257,0.907675,0.931418,0.988042,0.992434,0.999159,1.000000,0.998878,450.684101,0.000107
