round,fitnesses
1,535230974.596878
2,491527755.201506
3,544613961.324663
4,523390496.219432
5,552378849.385094
6,530833725.758938
7,522936230.782988
8,560719910.519317
9,501169167.243515
10,545767872.287661
11,523010079.023793
12,561515998.762946
13,567971751.468042
14,549768388.480499
15,567575858.520365
16,508301436.874992
17,570317443.681111
18,444914167.804429
19,564635663.931493
20,576574003.626714
21,513130515.212090
22,548031673.780779
23,548670040.384164
24,537470737.952479
25,472841904.657994
26,561947280.039900
27,576375126.072389
28,563995697.772553
29,565713343.894671
30,534178560.785680
31,547584945.678470
32,580580834.530182
33,578171686.014270
34,598394882.360445
35,543144836.075703
36,492579490.069498
37,502127189.304331
38,542102922.612719
39,542534340.229809
40,601021209.060148
41,569814712.920603
42,565527724.264818
43,579236833.091660
44,532952260.013698
45,504227062.090367
46,545088265.829001
47,546646155.275821
48,597130649.020476
49,524144684.599523
50,611764235.697576
51,599400053.095734
52,568383326.928958
53,507403682.813571
54,485303920.571523
55,543608486.327068
56,523825431.158600
57,545890216.260370
58,518344677.573841
59,496615292.261517
60,540129232.033084
61,523215657.883413
62,538545090.659456
63,525633319.916497
64,584033058.360100
65,530742162.935401
66,587800147.778330
67,552053984.842821
68,563865003.265619
69,579304814.501615
70,604836877.300135
71,528651128.562173
72,575408267.057747
73,569958633.565101
74,557544635.784377
75,517942365.155289
76,503150934.382126
77,609883198.749847
78,524829911.351867
79,498937911.514722
80,555301375.561919
81,547144552.589594
82,547926080.820487
83,568425341.095482
84,488400368.755084
85,554391953.621842
86,580237864.199158
87,567060785.336239
88,551693444.580638
89,609029106.591316
90,586250888.718546
91,524355296.150080
92,554952860.241506
93,561005510.278401
94,564530781.997438
95,567324075.497681
96,580130944.328087
97,539120384.597237
98,535813556.171388
99,555911498.730219
100,461569026.304144
