testing cp: 0.3, mp: 0.003, round 0
testing cp: 0.3, mp: 0.003, round 1
testing cp: 0.3, mp: 0.003, round 2
testing cp: 0.3, mp: 0.003, round 3
testing cp: 0.3, mp: 0.003, round 4
testing cp: 0.3, mp: 0.003, round 5
testing cp: 0.3, mp: 0.003, round 6
testing cp: 0.3, mp: 0.003, round 7
testing cp: 0.3, mp: 0.003, round 8
testing cp: 0.3, mp: 0.003, round 9
testing cp: 0.3, mp: 0.004, round 0
testing cp: 0.3, mp: 0.004, round 1
testing cp: 0.3, mp: 0.004, round 2
testing cp: 0.3, mp: 0.004, round 3
testing cp: 0.3, mp: 0.004, round 4
testing cp: 0.3, mp: 0.004, round 5
testing cp: 0.3, mp: 0.004, round 6
testing cp: 0.3, mp: 0.004, round 7
testing cp: 0.3, mp: 0.004, round 8
testing cp: 0.3, mp: 0.004, round 9
testing cp: 0.3, mp: 0.005, round 0
testing cp: 0.3, mp: 0.005, round 1
testing cp: 0.3, mp: 0.005, round 2
testing cp: 0.3, mp: 0.005, round 3
testing cp: 0.3, mp: 0.005, round 4
testing cp: 0.3, mp: 0.005, round 5
testing cp: 0.3, mp: 0.005, round 6
testing cp: 0.3, mp: 0.005, round 7
testing cp: 0.3, mp: 0.005, round 8
testing cp: 0.3, mp: 0.005, round 9
testing cp: 0.3, mp: 0.006, round 0
testing cp: 0.3, mp: 0.006, round 1
testing cp: 0.3, mp: 0.006, round 2
testing cp: 0.3, mp: 0.006, round 3
testing cp: 0.3, mp: 0.006, round 4
testing cp: 0.3, mp: 0.006, round 5
testing cp: 0.3, mp: 0.006, round 6
testing cp: 0.3, mp: 0.006, round 7
testing cp: 0.3, mp: 0.006, round 8
testing cp: 0.3, mp: 0.006, round 9
testing cp: 0.3, mp: 0.007, round 0
testing cp: 0.3, mp: 0.007, round 1
testing cp: 0.3, mp: 0.007, round 2
testing cp: 0.3, mp: 0.007, round 3
testing cp: 0.3, mp: 0.007, round 4
testing cp: 0.3, mp: 0.007, round 5
testing cp: 0.3, mp: 0.007, round 6
testing cp: 0.3, mp: 0.007, round 7
testing cp: 0.3, mp: 0.007, round 8
testing cp: 0.3, mp: 0.007, round 9
testing cp: 0.3, mp: 0.008, round 0
testing cp: 0.3, mp: 0.008, round 1
testing cp: 0.3, mp: 0.008, round 2
testing cp: 0.3, mp: 0.008, round 3
testing cp: 0.3, mp: 0.008, round 4
testing cp: 0.3, mp: 0.008, round 5
testing cp: 0.3, mp: 0.008, round 6
testing cp: 0.3, mp: 0.008, round 7
testing cp: 0.3, mp: 0.008, round 8
testing cp: 0.3, mp: 0.008, round 9
testing cp: 0.3, mp: 0.009000000000000001, round 0
testing cp: 0.3, mp: 0.009000000000000001, round 1
testing cp: 0.3, mp: 0.009000000000000001, round 2
testing cp: 0.3, mp: 0.009000000000000001, round 3
testing cp: 0.3, mp: 0.009000000000000001, round 4
testing cp: 0.3, mp: 0.009000000000000001, round 5
testing cp: 0.3, mp: 0.009000000000000001, round 6
testing cp: 0.3, mp: 0.009000000000000001, round 7
testing cp: 0.3, mp: 0.009000000000000001, round 8
testing cp: 0.3, mp: 0.009000000000000001, round 9
testing cp: 0.3, mp: 0.010000000000000002, round 0
testing cp: 0.3, mp: 0.010000000000000002, round 1
testing cp: 0.3, mp: 0.010000000000000002, round 2
testing cp: 0.3, mp: 0.010000000000000002, round 3
testing cp: 0.3, mp: 0.010000000000000002, round 4
testing cp: 0.3, mp: 0.010000000000000002, round 5
testing cp: 0.3, mp: 0.010000000000000002, round 6
testing cp: 0.3, mp: 0.010000000000000002, round 7
testing cp: 0.3, mp: 0.010000000000000002, round 8
testing cp: 0.3, mp: 0.010000000000000002, round 9
testing cp: 0.3, mp: 0.011000000000000003, round 0
testing cp: 0.3, mp: 0.011000000000000003, round 1
testing cp: 0.3, mp: 0.011000000000000003, round 2
testing cp: 0.3, mp: 0.011000000000000003, round 3
testing cp: 0.3, mp: 0.011000000000000003, round 4
testing cp: 0.3, mp: 0.011000000000000003, round 5
testing cp: 0.3, mp: 0.011000000000000003, round 6
testing cp: 0.3, mp: 0.011000000000000003, round 7
testing cp: 0.3, mp: 0.011000000000000003, round 8
testing cp: 0.3, mp: 0.011000000000000003, round 9
testing cp: 0.3, mp: 0.012000000000000004, round 0
testing cp: 0.3, mp: 0.012000000000000004, round 1
testing cp: 0.3, mp: 0.012000000000000004, round 2
testing cp: 0.3, mp: 0.012000000000000004, round 3
testing cp: 0.3, mp: 0.012000000000000004, round 4
testing cp: 0.3, mp: 0.012000000000000004, round 5
testing cp: 0.3, mp: 0.012000000000000004, round 6
testing cp: 0.3, mp: 0.012000000000000004, round 7
testing cp: 0.3, mp: 0.012000000000000004, round 8
testing cp: 0.3, mp: 0.012000000000000004, round 9
testing cp: 0.3, mp: 0.013000000000000005, round 0
testing cp: 0.3, mp: 0.013000000000000005, round 1
testing cp: 0.3, mp: 0.013000000000000005, round 2
testing cp: 0.3, mp: 0.013000000000000005, round 3
testing cp: 0.3, mp: 0.013000000000000005, round 4
testing cp: 0.3, mp: 0.013000000000000005, round 5
testing cp: 0.3, mp: 0.013000000000000005, round 6
testing cp: 0.3, mp: 0.013000000000000005, round 7
testing cp: 0.3, mp: 0.013000000000000005, round 8
testing cp: 0.3, mp: 0.013000000000000005, round 9
testing cp: 0.3, mp: 0.014000000000000005, round 0
testing cp: 0.3, mp: 0.014000000000000005, round 1
testing cp: 0.3, mp: 0.014000000000000005, round 2
testing cp: 0.3, mp: 0.014000000000000005, round 3
testing cp: 0.3, mp: 0.014000000000000005, round 4
testing cp: 0.3, mp: 0.014000000000000005, round 5
testing cp: 0.3, mp: 0.014000000000000005, round 6
testing cp: 0.3, mp: 0.014000000000000005, round 7
testing cp: 0.3, mp: 0.014000000000000005, round 8
testing cp: 0.3, mp: 0.014000000000000005, round 9
testing cp: 0.3, mp: 0.015000000000000006, round 0
testing cp: 0.3, mp: 0.015000000000000006, round 1
testing cp: 0.3, mp: 0.015000000000000006, round 2
testing cp: 0.3, mp: 0.015000000000000006, round 3
testing cp: 0.3, mp: 0.015000000000000006, round 4
testing cp: 0.3, mp: 0.015000000000000006, round 5
testing cp: 0.3, mp: 0.015000000000000006, round 6
testing cp: 0.3, mp: 0.015000000000000006, round 7
testing cp: 0.3, mp: 0.015000000000000006, round 8
testing cp: 0.3, mp: 0.015000000000000006, round 9
testing cp: 0.3, mp: 0.016000000000000007, round 0
testing cp: 0.3, mp: 0.016000000000000007, round 1
testing cp: 0.3, mp: 0.016000000000000007, round 2
testing cp: 0.3, mp: 0.016000000000000007, round 3
testing cp: 0.3, mp: 0.016000000000000007, round 4
testing cp: 0.3, mp: 0.016000000000000007, round 5
testing cp: 0.3, mp: 0.016000000000000007, round 6
testing cp: 0.3, mp: 0.016000000000000007, round 7
testing cp: 0.3, mp: 0.016000000000000007, round 8
testing cp: 0.3, mp: 0.016000000000000007, round 9
testing cp: 0.3, mp: 0.017000000000000008, round 0
testing cp: 0.3, mp: 0.017000000000000008, round 1
testing cp: 0.3, mp: 0.017000000000000008, round 2
testing cp: 0.3, mp: 0.017000000000000008, round 3
testing cp: 0.3, mp: 0.017000000000000008, round 4
testing cp: 0.3, mp: 0.017000000000000008, round 5
testing cp: 0.3, mp: 0.017000000000000008, round 6
testing cp: 0.3, mp: 0.017000000000000008, round 7
testing cp: 0.3, mp: 0.017000000000000008, round 8
testing cp: 0.3, mp: 0.017000000000000008, round 9
testing cp: 0.3, mp: 0.01800000000000001, round 0
testing cp: 0.3, mp: 0.01800000000000001, round 1
testing cp: 0.3, mp: 0.01800000000000001, round 2
testing cp: 0.3, mp: 0.01800000000000001, round 3
testing cp: 0.3, mp: 0.01800000000000001, round 4
testing cp: 0.3, mp: 0.01800000000000001, round 5
testing cp: 0.3, mp: 0.01800000000000001, round 6
testing cp: 0.3, mp: 0.01800000000000001, round 7
testing cp: 0.3, mp: 0.01800000000000001, round 8
testing cp: 0.3, mp: 0.01800000000000001, round 9
testing cp: 0.3, mp: 0.01900000000000001, round 0
testing cp: 0.3, mp: 0.01900000000000001, round 1
testing cp: 0.3, mp: 0.01900000000000001, round 2
testing cp: 0.3, mp: 0.01900000000000001, round 3
testing cp: 0.3, mp: 0.01900000000000001, round 4
testing cp: 0.3, mp: 0.01900000000000001, round 5
testing cp: 0.3, mp: 0.01900000000000001, round 6
testing cp: 0.3, mp: 0.01900000000000001, round 7
testing cp: 0.3, mp: 0.01900000000000001, round 8
testing cp: 0.3, mp: 0.01900000000000001, round 9
testing cp: 0.4, mp: 0.003, round 0
testing cp: 0.4, mp: 0.003, round 1
testing cp: 0.4, mp: 0.003, round 2
testing cp: 0.4, mp: 0.003, round 3
testing cp: 0.4, mp: 0.003, round 4
testing cp: 0.4, mp: 0.003, round 5
testing cp: 0.4, mp: 0.003, round 6
testing cp: 0.4, mp: 0.003, round 7
testing cp: 0.4, mp: 0.003, round 8
testing cp: 0.4, mp: 0.003, round 9
testing cp: 0.4, mp: 0.004, round 0
testing cp: 0.4, mp: 0.004, round 1
testing cp: 0.4, mp: 0.004, round 2
testing cp: 0.4, mp: 0.004, round 3
testing cp: 0.4, mp: 0.004, round 4
testing cp: 0.4, mp: 0.004, round 5
testing cp: 0.4, mp: 0.004, round 6
testing cp: 0.4, mp: 0.004, round 7
testing cp: 0.4, mp: 0.004, round 8
testing cp: 0.4, mp: 0.004, round 9
testing cp: 0.4, mp: 0.005, round 0
testing cp: 0.4, mp: 0.005, round 1
testing cp: 0.4, mp: 0.005, round 2
testing cp: 0.4, mp: 0.005, round 3
testing cp: 0.4, mp: 0.005, round 4
testing cp: 0.4, mp: 0.005, round 5
testing cp: 0.4, mp: 0.005, round 6
testing cp: 0.4, mp: 0.005, round 7
testing cp: 0.4, mp: 0.005, round 8
testing cp: 0.4, mp: 0.005, round 9
testing cp: 0.4, mp: 0.006, round 0
testing cp: 0.4, mp: 0.006, round 1
testing cp: 0.4, mp: 0.006, round 2
testing cp: 0.4, mp: 0.006, round 3
testing cp: 0.4, mp: 0.006, round 4
testing cp: 0.4, mp: 0.006, round 5
testing cp: 0.4, mp: 0.006, round 6
testing cp: 0.4, mp: 0.006, round 7
testing cp: 0.4, mp: 0.006, round 8
testing cp: 0.4, mp: 0.006, round 9
testing cp: 0.4, mp: 0.007, round 0
testing cp: 0.4, mp: 0.007, round 1
testing cp: 0.4, mp: 0.007, round 2
testing cp: 0.4, mp: 0.007, round 3
testing cp: 0.4, mp: 0.007, round 4
testing cp: 0.4, mp: 0.007, round 5
testing cp: 0.4, mp: 0.007, round 6
testing cp: 0.4, mp: 0.007, round 7
testing cp: 0.4, mp: 0.007, round 8
testing cp: 0.4, mp: 0.007, round 9
testing cp: 0.4, mp: 0.008, round 0
testing cp: 0.4, mp: 0.008, round 1
testing cp: 0.4, mp: 0.008, round 2
testing cp: 0.4, mp: 0.008, round 3
testing cp: 0.4, mp: 0.008, round 4
testing cp: 0.4, mp: 0.008, round 5
testing cp: 0.4, mp: 0.008, round 6
testing cp: 0.4, mp: 0.008, round 7
testing cp: 0.4, mp: 0.008, round 8
testing cp: 0.4, mp: 0.008, round 9
testing cp: 0.4, mp: 0.009000000000000001, round 0
testing cp: 0.4, mp: 0.009000000000000001, round 1
testing cp: 0.4, mp: 0.009000000000000001, round 2
testing cp: 0.4, mp: 0.009000000000000001, round 3
testing cp: 0.4, mp: 0.009000000000000001, round 4
testing cp: 0.4, mp: 0.009000000000000001, round 5
testing cp: 0.4, mp: 0.009000000000000001, round 6
testing cp: 0.4, mp: 0.009000000000000001, round 7
testing cp: 0.4, mp: 0.009000000000000001, round 8
testing cp: 0.4, mp: 0.009000000000000001, round 9
testing cp: 0.4, mp: 0.010000000000000002, round 0
testing cp: 0.4, mp: 0.010000000000000002, round 1
testing cp: 0.4, mp: 0.010000000000000002, round 2
testing cp: 0.4, mp: 0.010000000000000002, round 3
testing cp: 0.4, mp: 0.010000000000000002, round 4
testing cp: 0.4, mp: 0.010000000000000002, round 5
testing cp: 0.4, mp: 0.010000000000000002, round 6
testing cp: 0.4, mp: 0.010000000000000002, round 7
testing cp: 0.4, mp: 0.010000000000000002, round 8
testing cp: 0.4, mp: 0.010000000000000002, round 9
testing cp: 0.4, mp: 0.011000000000000003, round 0
testing cp: 0.4, mp: 0.011000000000000003, round 1
testing cp: 0.4, mp: 0.011000000000000003, round 2
testing cp: 0.4, mp: 0.011000000000000003, round 3
testing cp: 0.4, mp: 0.011000000000000003, round 4
testing cp: 0.4, mp: 0.011000000000000003, round 5
testing cp: 0.4, mp: 0.011000000000000003, round 6
testing cp: 0.4, mp: 0.011000000000000003, round 7
testing cp: 0.4, mp: 0.011000000000000003, round 8
testing cp: 0.4, mp: 0.011000000000000003, round 9
testing cp: 0.4, mp: 0.012000000000000004, round 0
testing cp: 0.4, mp: 0.012000000000000004, round 1
testing cp: 0.4, mp: 0.012000000000000004, round 2
testing cp: 0.4, mp: 0.012000000000000004, round 3
testing cp: 0.4, mp: 0.012000000000000004, round 4
testing cp: 0.4, mp: 0.012000000000000004, round 5
testing cp: 0.4, mp: 0.012000000000000004, round 6
testing cp: 0.4, mp: 0.012000000000000004, round 7
testing cp: 0.4, mp: 0.012000000000000004, round 8
testing cp: 0.4, mp: 0.012000000000000004, round 9
testing cp: 0.4, mp: 0.013000000000000005, round 0
testing cp: 0.4, mp: 0.013000000000000005, round 1
testing cp: 0.4, mp: 0.013000000000000005, round 2
testing cp: 0.4, mp: 0.013000000000000005, round 3
testing cp: 0.4, mp: 0.013000000000000005, round 4
testing cp: 0.4, mp: 0.013000000000000005, round 5
testing cp: 0.4, mp: 0.013000000000000005, round 6
testing cp: 0.4, mp: 0.013000000000000005, round 7
testing cp: 0.4, mp: 0.013000000000000005, round 8
testing cp: 0.4, mp: 0.013000000000000005, round 9
testing cp: 0.4, mp: 0.014000000000000005, round 0
testing cp: 0.4, mp: 0.014000000000000005, round 1
testing cp: 0.4, mp: 0.014000000000000005, round 2
testing cp: 0.4, mp: 0.014000000000000005, round 3
testing cp: 0.4, mp: 0.014000000000000005, round 4
testing cp: 0.4, mp: 0.014000000000000005, round 5
testing cp: 0.4, mp: 0.014000000000000005, round 6
testing cp: 0.4, mp: 0.014000000000000005, round 7
testing cp: 0.4, mp: 0.014000000000000005, round 8
testing cp: 0.4, mp: 0.014000000000000005, round 9
testing cp: 0.4, mp: 0.015000000000000006, round 0
testing cp: 0.4, mp: 0.015000000000000006, round 1
testing cp: 0.4, mp: 0.015000000000000006, round 2
testing cp: 0.4, mp: 0.015000000000000006, round 3
testing cp: 0.4, mp: 0.015000000000000006, round 4
testing cp: 0.4, mp: 0.015000000000000006, round 5
testing cp: 0.4, mp: 0.015000000000000006, round 6
testing cp: 0.4, mp: 0.015000000000000006, round 7
testing cp: 0.4, mp: 0.015000000000000006, round 8
testing cp: 0.4, mp: 0.015000000000000006, round 9
testing cp: 0.4, mp: 0.016000000000000007, round 0
testing cp: 0.4, mp: 0.016000000000000007, round 1
testing cp: 0.4, mp: 0.016000000000000007, round 2
testing cp: 0.4, mp: 0.016000000000000007, round 3
testing cp: 0.4, mp: 0.016000000000000007, round 4
testing cp: 0.4, mp: 0.016000000000000007, round 5
testing cp: 0.4, mp: 0.016000000000000007, round 6
testing cp: 0.4, mp: 0.016000000000000007, round 7
testing cp: 0.4, mp: 0.016000000000000007, round 8
testing cp: 0.4, mp: 0.016000000000000007, round 9
testing cp: 0.4, mp: 0.017000000000000008, round 0
testing cp: 0.4, mp: 0.017000000000000008, round 1
testing cp: 0.4, mp: 0.017000000000000008, round 2
testing cp: 0.4, mp: 0.017000000000000008, round 3
testing cp: 0.4, mp: 0.017000000000000008, round 4
testing cp: 0.4, mp: 0.017000000000000008, round 5
testing cp: 0.4, mp: 0.017000000000000008, round 6
testing cp: 0.4, mp: 0.017000000000000008, round 7
testing cp: 0.4, mp: 0.017000000000000008, round 8
testing cp: 0.4, mp: 0.017000000000000008, round 9
testing cp: 0.4, mp: 0.01800000000000001, round 0
testing cp: 0.4, mp: 0.01800000000000001, round 1
testing cp: 0.4, mp: 0.01800000000000001, round 2
testing cp: 0.4, mp: 0.01800000000000001, round 3
testing cp: 0.4, mp: 0.01800000000000001, round 4
testing cp: 0.4, mp: 0.01800000000000001, round 5
testing cp: 0.4, mp: 0.01800000000000001, round 6
testing cp: 0.4, mp: 0.01800000000000001, round 7
testing cp: 0.4, mp: 0.01800000000000001, round 8
testing cp: 0.4, mp: 0.01800000000000001, round 9
testing cp: 0.4, mp: 0.01900000000000001, round 0
testing cp: 0.4, mp: 0.01900000000000001, round 1
testing cp: 0.4, mp: 0.01900000000000001, round 2
testing cp: 0.4, mp: 0.01900000000000001, round 3
testing cp: 0.4, mp: 0.01900000000000001, round 4
